female,16
male,21
other,2
22-14 years old,38
25-28 years old,15
28-34 years old,0
35-44 years old,4
45-54 years old,2
African-American (non-Hispanic),2
Asian/Pacific Islanders,13
Caucasian (non-Hispanic),17
Latino or Hispanic,1
Native American or Aleut,0
Other,4
Some high school no diploma,3
High school graduate or diploma or theequivalent,6
Some college credit no degree,25
Bachelor’s degree,3
Master’s degree,0
Doctorate degree,0
Employed for wages,4
Self-employed,0
A student (no other job),20
A student (with job),13
Military,0
Out of work and looking for work,0
Out of work but not currently looking,0
Unable to work,0
Less than $20000,13
$20000 to $34999,5
$35000 to $4999,1
$50000 to $74999,1
$7000 to $99999,7
Over $100000,9
